time,Q,T
2.100000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.110000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.120000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.130000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.140000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.150000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.160000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.170000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.180000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.190000000000000000e+02,3.000000000000000000e+01,5.828999999999999915e+01
2.200000000000000000e+02,3.000000000000000000e+01,5.796999999999999886e+01
2.210000000000000000e+02,3.000000000000000000e+01,5.796999999999999886e+01
2.220000000000000000e+02,3.000000000000000000e+01,5.796999999999999886e+01
2.230000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.240000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.250000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.260000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.270000000000000000e+02,3.000000000000000000e+01,5.764999999999999858e+01
2.280000000000000000e+02,3.000000000000000000e+01,5.732999999999999829e+01
2.290000000000000000e+02,3.000000000000000000e+01,5.732999999999999829e+01
2.300000000000000000e+02,3.000000000000000000e+01,5.700000000000000000e+01
2.310000000000000000e+02,3.000000000000000000e+01,5.700000000000000000e+01
2.320000000000000000e+02,3.000000000000000000e+01,5.700000000000000000e+01
2.330000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.340000000000000000e+02,3.000000000000000000e+01,5.700000000000000000e+01
2.350000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.360000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.370000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.380000000000000000e+02,3.000000000000000000e+01,5.667999999999999972e+01
2.390000000000000000e+02,3.000000000000000000e+01,5.635999999999999943e+01
2.400000000000000000e+02,3.000000000000000000e+01,5.635999999999999943e+01
2.410000000000000000e+02,3.000000000000000000e+01,5.603999999999999915e+01
